epoch,train_loss,train_acc,val_loss,val_acc,loss_diff,acc_diff,learning_rate
1,1.755635,0.544944,1.331636,0.572642,-0.423999,-0.027699,0.00100000
2,1.474517,0.599154,1.349497,0.599408,-0.125019,-0.000254,0.00100000
3,1.414874,0.593860,1.259687,0.601437,-0.155187,-0.007577,0.00100000
4,1.397454,0.607215,1.210665,0.615800,-0.186788,-0.008586,0.00100000
5,1.264936,0.622240,1.223836,0.625050,-0.041100,-0.002810,0.00100000
6,1.299970,0.622027,1.155576,0.633023,-0.144394,-0.010996,0.00100000
7,1.277063,0.622930,1.153573,0.630231,-0.123490,-0.007301,0.00100000
8,1.222852,0.635904,1.095902,0.654424,-0.126950,-0.018520,0.00100000
9,1.174407,0.652361,1.035501,0.635546,-0.138907,0.016815,0.00100000
10,1.162681,0.658774,1.108525,0.633710,-0.054156,0.025064,0.00100000
11,1.114672,0.667985,1.236961,0.594266,0.122289,0.073719,0.00100000
12,1.222932,0.647040,1.047206,0.681133,-0.175726,-0.034093,0.00100000
13,1.083674,0.671167,1.098612,0.715562,0.014938,-0.044396,0.00100000
14,1.134732,0.680957,1.034286,0.671769,-0.100445,0.009188,0.00100000
15,1.141150,0.679709,1.030757,0.685436,-0.110393,-0.005728,0.00100000
16,1.071249,0.689620,0.999557,0.699812,-0.071692,-0.010192,0.00100000
17,1.074824,0.699184,1.095878,0.675182,0.021054,0.024002,0.00100000
18,1.014993,0.710427,1.047360,0.681060,0.032366,0.029368,0.00100000
19,1.044548,0.699451,0.976007,0.703100,-0.068541,-0.003649,0.00100000
20,1.050072,0.709042,1.125583,0.729108,0.075511,-0.020066,0.00100000
21,1.043784,0.713001,0.998269,0.725737,-0.045515,-0.012736,0.00100000
22,0.925923,0.729681,1.097795,0.680821,0.171871,0.048860,0.00100000
23,1.041870,0.715746,0.989373,0.697689,-0.052497,0.018057,0.00100000
24,0.982490,0.723480,1.069008,0.632463,0.086518,0.091017,0.00100000
25,0.912814,0.733595,1.037607,0.676619,0.124793,0.056975,0.00050000
26,0.933192,0.738898,0.997379,0.696369,0.064187,0.042530,0.00050000
27,0.920465,0.733512,0.831076,0.737020,-0.089389,-0.003508,0.00050000
28,0.914509,0.751994,0.936846,0.735103,0.022337,0.016891,0.00050000
29,0.896474,0.756209,0.949027,0.715483,0.052552,0.040726,0.00050000
